city_ID;;City_name;population;;;city_id;city_score
5759;10;Berlin;3426354;;;4095;6,297
65;9;Erfurt;203254;;;1050;6,185
5717;6,5;Potsdam;145292;;;2846;6,11
719;9;Regensburg;129151;;;447;6,012
996;8,8;Erlangen;102675;;;4040;5,645
5589;7,5;Neubrandenburg;68082;;;3764;5,623
910;8,5;Langenfeld;59378;;;2150;5,571
5528;7;Greifswald;52731;;;5521;5,499
628;7,5;Passau;50560;;;1219;5,415
814;7,4;Amberg;44737;;;3985;5,259
572;4;Straubing;44580;;;3839;5,188
71;4;Suhl;43509;;;4173;5,076
5631;4,5;Eberswalde;41980;;;4067;5,041
635;6;Schorndorf;39697;;;3758;5,011
5707;6;Falkensee;37468;;;1610;5,001
4095;6,297;Stendal;37722;;;3336;4,944
1050;6,185;Heidenheim an der Brenz;50067;;;1132;4,887
2846;6,11;Mannheim;307960;;;1585;4,861
447;6,012;Bayreuth;75061;;;4050;4,782
4040;5,645;Recklinghausen;122438;;;4047;4,737
3764;5,623;Siegburg;39135;;;4080;4,729
2150;5,571;Tuttlingen;34847;;;3745;4,675
5521;5,499;Rostock;198293;;;3841;4,673
1219;5,415;Ravensburg;48825;;;4585;4,631
3985;5,259;Willich;51843;;;2317;4,59
3839;5,188;Bergisch Gladbach;106184;;;2195;4,564
4173;5,076;Gifhorn;43000;;;4368;4,539
4067;5,041;Dormagen;63582;;;4825;4,513
3758;5,011;Niederkassel;36480;;;316;4,479
1610;5,001;Dachau;39740;;;3998;4,467
3336;4,944;Lippstadt;67219;;;4893;4,417
1132;4,887;Ulm;120451;;;3955;4,415
1585;4,861;Freising;42570;;;2950;4,374
4050;4,782;Wermelskirchen;36816;;;3826;4,341
4047;4,737;Castrop-Rauxel;77924;;;4694;4,338
4080;4,729;Hilden;56565;;;235;4,324
3745;4,675;Trier;100129;;;2791;4,281
3841;4,673;Leverkusen;162738;;;2793;4,261
4585;4,631;Herford;64879;;;4523;4,224
2317;4,59;Karlsruhe;283799;;;3922;4,188
2195;4,564;Villingen-Schwenningen;81770;;;3341;4,155
4368;4,539;Fulda;63760;;;3978;4,138
4825;4,513;Cuxhaven;52677;;;4804;4,124
316;4,479;Coburg;41901;;;3796;4,118
3998;4,467;Geldern;34013;;;3095;4,109
4893;4,417;Leer;33886;;;3358;4,029
3955;4,415;Nordhorn;52803;;;4558;4,011
2950;4,374;Speyer;50343;;;1306;3,984
3826;4,341;Aachen;265208;;;4549;3,98
4694;4,338;Garbsen;63355;;;2680;3,952
235;4,324;Schweinfurt;54012;;;4044;3,903
2791;4,281;Fellbach;43935;;;4693;3,833
2793;4,261;Stuttgart;589793;;;4013;3,824
4523;4,224;Kassel;194501;;;4398;3,804
3922;4,188;Melle;46514;;;2384;3,783
3341;4,155;Soest;48037;;;1879;3,766
3978;4,138;Emsdetten;35582;;;4144;3,753
4804;4,124;Bremen;546501;;;4054;3,745
3796;4,118;Bornheim;48523;;;4079;3,744
3095;4,109;Frankfurt am Main;650000;;;3763;3,737
3358;4,029;Bergkamen;52329;;;3377;3,73
4558;4,011;Lage;36097;;;4004;3,718
1306;3,984;Kaufbeuren;42505;;;2385;3,712
4549;3,98;Paderborn;142161;;;2659;3,694
2680;3,952;Balingen;34414;;;2244;3,674
4044;3,903;Essen;593085;;;3757;3,658
4693;3,833;Langenhagen;50439;;;4031;3,646
4013;3,824;Dinslaken;70573;;;2790;3,642
4398;3,804;Wetzlar;52656;;;4673;3,642
2384;3,783;Sinsheim;35219;;;4692;3,642
1879;3,766;Rosenheim;60167;;;3371;3,638
4144;3,753;Halberstadt;39729;;;2918;3,634
