ad_id;Street;City_Code
1;Ascherbachweg 9; Dachau (85221)
2;Dachau; Dachau (85221)
3;Dachau; Dachau (85221)
4;Dachau; Dachau (85221)
5;Dachau; Dachau (85221)
6;Dachau; Dachau (85221)
7;Dachau; Dachau (85221)
8;Dachau; Dachau (85221)
9;Steinkirchen; Dachau (85221)
10;Dachau; Dachau (85221)
11;Dachau; Dachau (85221)
12;Dachau; Dachau (85221)
13;Dachau; Dachau (85221)
14;Dachau; Dachau (85221)
15;Dachau; Dachau (85221)
16;Dachau; Dachau (85221)
17;Dachau; Dachau (85221)
18;Dachau; Dachau (85221)
19;Dachau; Dachau (85221)
20;Dachau; Dachau (85221)
21;Dachau; Dachau (85221)
22;Dachau; Dachau (85221)
23;Dachau; Dachau (85221)
24;Pfarrstrasse; Dachau (85221)
25;Dachau; Dachau (85221)
26;Dachau; Dachau (85221)
27;Dachau; Dachau (85221)
28;Dachau; Dachau (85221)
29;Dachau; Dachau (85221)
30;Dachau; Dachau (85221)
31;Dachau; Dachau (85221)
32;Dachau; Dachau (85221)
33;Dachau; Dachau (85221)
34;Steinkirchen; Dachau (85221)
35;Dachau; Dachau (85221)
36;Sudetenlandstrasse 92; Dachau (85221)
37;Dachau; Dachau (85221)
38;Dachau; Dachau (85221)
39;Dachau; Dachau (85221)
40;Dachau; Dachau (85221)
41;Dachau; Dachau (85221)
42;Dachau; Dachau (85221)
43;Dachau; Dachau (85221)
44;Schönbrunn; Dachau (85221)
45;Dachau; Dachau (85221)
46;Schönbrunn; Dachau (85221)
47;Schönbrunn; Dachau (85221)
48;Schönbrunn; Dachau (85221)
49;Dachau; Dachau (85221)
50;Dachau; Dachau (85221)
51;Dachau; Dachau (85221)
52;Dachau; Dachau (85221)
53;Dachau; Dachau (85221)
54;Dachau; Dachau (85221)
55;Dachau; Dachau (85221)
56;Dachau; Dachau (85221)
57;Dachau; Dachau (85221)
58;Dachau; Dachau (85221)
59;Dachau; Dachau (85221)
60;Dachau; Dachau (85221)
61;Dachau; Dachau (85221)
62;Dachau; Dachau (85221)
63;Dachau; Dachau (85221)
64;Dachau; Dachau (85221)
65;Dachau; Dachau (85221)
66;Dachau; Dachau (85221)
67;Dachau; Dachau (85221)
68;Dachau; Dachau (85221)
69;Dachau; Dachau (85221)
70;Dachau; Dachau (85221)
71;Gunding; Dachau (85221)
72;Dachau; Dachau (85221)
73;Herzog-Albrechtstr. 72; Dachau (85221)
74;Dachau; Dachau (85221)
75;Dachau; Dachau (85221)
76;Wallbergstrasse 27; Dachau (85221)
77;Dachau; Dachau (85221)
78;Dachau; Dachau (85221)
79;Berlinerstr.; Dachau (85221)
80;Karlsfeld;Karlsfeld (85757)
81;Karlsfeld;Karlsfeld (85757)
82;Karlsfeld;Karlsfeld (85757)
83;Karlsfeld;Karlsfeld (85757)
84;Karlsfeld;Karlsfeld (85757)
85;Karlsfeld;Karlsfeld (85757)
86;Karlsfeld;Karlsfeld (85757)
87;Karlsfeld;Karlsfeld (85757)
88;Schönbrunn; Röhrmoos (85244)
89;Karlsfeld;Karlsfeld (85757)
90;Alte Bayernwerkstrasse 189; Karlsfeld (85757)
91;Karlsfeld;Karlsfeld (85757)
92;Karlsfeld;Karlsfeld (85757)
93;Rathausstrasse 4; Karlsfeld (85757)
94;Schönbrunn; Röhrmoos (85244)
95;Karlsfeld;Karlsfeld (85757)
96;Karlsfeld;Karlsfeld (85757)
97;Karlsfeld;Karlsfeld (85757)
98;Augenbroicher Strasse 63; Euskirchen (53879)
99;Dom-Esch; Euskirchen-Dom-Esch (53881)
100;Euskirchen; Euskirchen-Innenstadt (53879)
101;Keltenring 76; Euskirchen (53879)
102;Frauenberg; Euskirchen (53881)
103;Euskirchen; Euskirchen (53879)
104;Euskirchen; Euskirchen-Innenstadt (53879)
105;Euskirchen; Euskirchen-Innenstadt (53879)
106;Roitzheim; Euskirchen (53881)
107;Am Fuchspfad 8; Euskirchen (53879)
108;Peter-Simons-Strasse 21; Euskirchen (53879)
109;Wisskirchen; Euskirchen (53881)
110;Kleinbullesheim; Euskirchen-Kleinbullesheim (53881)
111;Euskirchen; Euskirchen-Innenstadt (53879)
112;Euskirchen; Euskirchen (53879)
