ad_id;Street;City_Code
44;Schönbrunn; Dachau (85221);Schönbrunn,  Dachau (85221);3.4728
45;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
48;Schönbrunn; Dachau (85221);Schönbrunn,  Dachau (85221);3.4728
73;Herzog-Albrechtstr. 72; Dachau (85221);Herzog-Albrechtstr. 72,  Dachau (85221);3.2262
94;Schönbrunn; Röhrmoos (85244);Schönbrunn,  Röhrmoos (85244);3.4728
99;Dom-Esch; Euskirchen-Dom-Esch (53881);Dom-Esch,  Euskirchen-Dom-Esch (53881);
260;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
298;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
653;Avenue Charles de Gaulle 10 d;Berlin;Avenue Charles de Gaulle 10 d, Berlin;
654;Buschkrugallee 80; Berlin (12359);Buschkrugallee 80,  Berlin (12359);3.7958
655;Grindelwaldweg XX; Berlin (13407);Grindelwaldweg XX,  Berlin (13407);
656;Kirchweg 53; Berlin (14129);Kirchweg 53,  Berlin (14129);
657;Prenzlauer Berg; Berlin (10437);Prenzlauer Berg,  Berlin (10437);3.8337
658;Steglitz; Berlin (12169);Steglitz,  Berlin (12169);
659;Schweidnitzer Strasse 8A; Berlin (10709);Schweidnitzer Strasse 8A,  Berlin (10709);
660;Charlottenburg; Berlin (10589);Charlottenburg,  Berlin (10589);
661;Tempelhof; Berlin (12099);Tempelhof,  Berlin (12099);3.8865
662;Wilhelmstadt; Berlin (13587);Wilhelmstadt,  Berlin (13587);
663;Märkisches Viertel; Berlin (13435);Märkisches Viertel,  Berlin (13435);
664;Wittenau; Berlin (13403);Wittenau,  Berlin (13403);
665;Bohnsdorf; Berlin (12526);Bohnsdorf,  Berlin (12526);3.6182
666;Bohnsdorf; Berlin-Bohnsdorf (12526);Bohnsdorf,  Berlin-Bohnsdorf (12526);3.6374
667;Bohnsdorf; Berlin-Bohnsdorf (12526);Bohnsdorf,  Berlin-Bohnsdorf (12526);3.6374
668;Westend; Berlin (14193);Westend,  Berlin (14193);
669;Friedrichshain; Berlin (10247);Friedrichshain,  Berlin (10247);3.7941
670;Charlottenburg; Berlin (14059);Charlottenburg,  Berlin (14059);
671;Neukölln; Berlin (12047);Neukölln,  Berlin (12047);3.7784
672;Westend; Berlin-Wilmersdorf (14193);Westend,  Berlin-Wilmersdorf (14193);
673;Hellersdorf; Berlin Marzahn-Hellersdorf (12683);Hellersdorf,  Berlin Marzahn-Hellersdorf (12683);3.5335
674;Zehlendorf; Berlin Steglitz-Zehlendorf (14129);Zehlendorf,  Berlin Steglitz-Zehlendorf (14129);
675;Mariendorf; Berlin Tempelhof-Schöneberg (12099);Mariendorf,  Berlin Tempelhof-Schöneberg (12099);3.8849
676;Wilhelmstadt; Berlin-Spandau (13585);Wilhelmstadt,  Berlin-Spandau (13585);
677;Bohnsdorf; Berlin-Bohnsdorf (12526);Bohnsdorf,  Berlin-Bohnsdorf (12526);3.6374
678;Wartenberg; Berlin (13059);Wartenberg,  Berlin (13059);3.7358
679;Lichtenrade; Berlin (12309);Lichtenrade,  Berlin (12309);3.8959
680;Neukölln; Berlin (12051);Neukölln,  Berlin (12051);3.7784
681;Eckertstrasse 17; Berlin (10249);Eckertstrasse 17,  Berlin (10249);3.7951
682;Eckertstrasse 17; Berlin (10249);Eckertstrasse 17,  Berlin (10249);3.7951
683;Eckertstrasse 17; Berlin (10249);Eckertstrasse 17,  Berlin (10249);3.7951
684;Eckertstrasse 17; Berlin (10249);Eckertstrasse 17,  Berlin (10249);3.7951
685;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
686;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
687;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
688;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
689;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
690;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
691;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
692;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
693;Grunberger Strasse 52; Berlin (10245);Grunberger Strasse 52,  Berlin (10245);3.786
694;Palisadenstrasse 58; Berlin (10243);Palisadenstrasse 58,  Berlin (10243);3.8129
695;Palisadenstrasse 58; Berlin (10243);Palisadenstrasse 58,  Berlin (10243);3.8129
696;Grossbeerenstrasse 46; Berlin (10965);Grossbeerenstrasse 46,  Berlin (10965);3.89
697;Grossbeerenstrasse 46; Berlin (10965);Grossbeerenstrasse 46,  Berlin (10965);3.89
698;Grossbeerenstrasse 46; Berlin (10965);Grossbeerenstrasse 46,  Berlin (10965);3.89
699;Grossbeerenstrasse 46; Berlin (10965);Grossbeerenstrasse 46,  Berlin (10965);3.89
700;Grossbeerenstrasse 46; Berlin (10965);Grossbeerenstrasse 46,  Berlin (10965);3.89
