ad_id;Street;City_Code
1;Ascherbachweg 9; Dachau (85221);Ascherbachweg 9,  Dachau (85221);3.2279
2;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
3;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
4;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
5;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
6;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
7;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
8;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
9;Steinkirchen; Dachau (85221);Steinkirchen,  Dachau (85221);3.268
10;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
11;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
12;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
13;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
14;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
15;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
16;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
17;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
18;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
19;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
20;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
21;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
22;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
23;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
24;Pfarrstrasse; Dachau (85221);Pfarrstrasse,  Dachau (85221);3.2561
25;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
26;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
27;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
28;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
29;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
30;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
31;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
32;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
33;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
34;Steinkirchen; Dachau (85221);Steinkirchen,  Dachau (85221);3.268
35;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
36;Sudetenlandstrasse 92; Dachau (85221);Sudetenlandstrasse 92,  Dachau (85221);3.3403
37;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
38;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
39;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
40;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
41;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
42;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
43;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
44;Schönbrunn; Dachau (85221);Schönbrunn,  Dachau (85221);3.4728
45;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
46;Schönbrunn; Dachau (85221);Schönbrunn,  Dachau (85221);3.4728
47;Schönbrunn; Dachau (85221);Schönbrunn,  Dachau (85221);3.4728
48;Schönbrunn; Dachau (85221);Schönbrunn,  Dachau (85221);3.4728
49;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
50;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
51;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
52;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
53;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
54;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
55;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
56;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
57;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
58;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
59;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
60;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
61;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
62;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
63;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
64;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
65;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
66;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
67;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
68;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
69;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
70;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
71;Gunding; Dachau (85221);Gunding,  Dachau (85221);3.1345
72;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
73;Herzog-Albrechtstr. 72; Dachau (85221);Herzog-Albrechtstr. 72,  Dachau (85221);3.2262
74;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
75;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
76;Wallbergstrasse 27; Dachau (85221);Wallbergstrasse 27,  Dachau (85221);3.2767
77;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
78;Dachau; Dachau (85221);Dachau,  Dachau (85221);3.2325
79;Berlinerstr.; Dachau (85221);Berlinerstr.,  Dachau (85221);3.3132
80;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
81;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
82;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
83;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
84;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
85;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
86;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
87;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
89;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
90;Alte Bayernwerkstrasse 189; Karlsfeld (85757);Alte Bayernwerkstrasse 189,  Karlsfeld (85757);3.2591
91;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
92;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
93;Rathausstrasse 4; Karlsfeld (85757);Rathausstrasse 4,  Karlsfeld (85757);3.3121
95;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
96;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
97;Karlsfeld;Karlsfeld (85757);Karlsfeld, Karlsfeld (85757);3.2649
98;Augenbroicher Strasse 63; Euskirchen (53879);Augenbroicher Strasse 63,  Euskirchen (53879);3.8696
