ad_id;Street;City_Code;;;;;;
1;Ascherbachweg 9; Dachau (85221);Ascherbachweg 9,  Dachau (85221);355;;;how many  0s:;9281
2;Dachau; Dachau (85221);Dachau,  Dachau (85221);0;;;;
3;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;how many Unk:;663
4;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
5;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
6;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
7;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
8;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
9;Steinkirchen; Dachau (85221);Steinkirchen,  Dachau (85221);120;;;;
10;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
11;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
12;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
13;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
14;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
15;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
16;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
17;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
18;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
19;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
20;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
21;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
22;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
23;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
24;Pfarrstrasse; Dachau (85221);Pfarrstrasse,  Dachau (85221);655;;;;
25;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
26;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
27;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
28;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
29;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
30;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
31;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
32;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
33;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
34;Steinkirchen; Dachau (85221);Steinkirchen,  Dachau (85221);120;;;;
35;Dachau; Dachau (85221);Dachau,  Dachau (85221);295;;;;
36;Sudetenlandstrasse 92; Dachau (85221);Sudetenlandstrasse 92,  Dachau (85221);480;;;;
